nom_ent,ambito,rubro,mean,se,cv,confianza
Campeche,Rural,Gasto corriente,9926.123944141722,615.8533526652744,0.062043689574191103,Alta
Campeche,Rural,NANV,5011.4519432841425,410.8160873822575,0.08197546180858684,Alta
Campeche,Rural,Vivienda,445.17250692567484,53.47033837020142,0.12011150180738525,Alta
Campeche,Urbano,Alimentos,5899.933093569014,100.41673303402231,0.017019978267800624,Alta
Campeche,Urbano,Gasto corriente,15180.30637522565,294.0997714169128,0.01937377047257,Alta
Campeche,Urbano,NANV,8141.056276231312,233.14942886235707,0.028638719712951975,Alta
Campeche,Urbano,Vivienda,1139.317005425324,35.33356824634748,0.031012938522019987,Alta
Chiapas,Rural,Alimentos,3511.8249115448166,159.52348086866388,0.04542466805342271,Alta
Chiapas,Rural,Gasto corriente,6884.060841826554,301.03094439189624,0.04372868737052351,Alta
Chiapas,Rural,NANV,3079.8162509094145,148.24524301419186,0.0481344440501662,Alta
Chiapas,Rural,Vivienda,292.4196793723228,22.719247738460112,0.07769397664078852,Alta
Chiapas,Urbano,Alimentos,4807.398185157221,123.86009125482298,0.025764475186856664,Alta
Chiapas,Urbano,Gasto corriente,10931.14378379532,316.5065348265487,0.028954566977313776,Alta
Chiapas,Urbano,NANV,5174.817902681719,191.94827944072247,0.037092760180266464,Alta
Chiapas,Urbano,Vivienda,948.9276959563805,46.76462309903578,0.04928154515703525,Alta
Chihuahua,Rural,Alimentos,3657.590677169131,117.49161025647771,0.03212267873216825,Alta
Chihuahua,Rural,Gasto corriente,10143.773395348524,482.70914993934986,0.04758674421499779,Alta
Chihuahua,Rural,NANV,5627.153604837498,355.1121400175517,0.06310688581741794,Alta
Chihuahua,Rural,Vivienda,859.0291133418949,57.31240350100775,0.06671764974069898,Alta
Chihuahua,Urbano,Alimentos,5361.418498875668,114.94778760485173,0.021439808817192166,Alta
Chihuahua,Urbano,Gasto corriente,16387.829368619543,302.5704709052376,0.01846312065493059,Alta
Chihuahua,Urbano,NANV,9135.298038096962,220.37467244829517,0.024123424493570543,Alta
Chihuahua,Urbano,Vivienda,1891.1128316469126,46.62828158503129,0.02465653069702041,Alta
Ciudad de México,Rural,Alimentos,5975.8195893403235,172.45946398101435,0.02885954995841036,Alta
Ciudad de México,Rural,Gasto corriente,14666.317346002621,417.55272766277074,0.028470182242209346,Alta
Ciudad de México,Rural,NANV,8033.141145597522,338.5061445309667,0.04213870245719278,Alta
Ciudad de México,Rural,Vivienda,657.3566110647762,35.556010722943086,0.05408937877014731,Alta
Ciudad de México,Urbano,Alimentos,8141.613592307488,177.44408743447914,0.021794707575183276,Alta
Ciudad de México,Urbano,Gasto corriente,22168.5691403429,602.8209298599155,0.02719259533818479,Alta
Ciudad de México,Urbano,NANV,11377.182849824805,407.18390271016716,0.03578951908261168,Alta
Ciudad de México,Urbano,Vivienda,2649.772698210606,139.193760144741,0.05253045298517064,Alta
Coahuila,Rural,Alimentos,4128.2348617269945,122.4011780632519,0.029649761257053802,Alta
Coahuila,Rural,Gasto corriente,10559.042952158743,342.5496381573041,0.03244135284886511,Alta
Coahuila,Rural,NANV,5776.3550331288025,276.2962008443409,0.04783227472337052,Alta
Coahuila,Rural,Vivienda,654.4530573029459,44.43024411650884,0.06788912301763778,Alta
Coahuila,Urbano,Alimentos,5462.764587111539,78.99224708952087,0.014460122860847711,Alta
Coahuila,Urbano,Gasto corriente,17352.288095219315,289.63130876956086,0.01669124597172614,Alta
Coahuila,Urbano,NANV,10201.27382775786,225.38554238080815,0.022093862608366596,Alta
Coahuila,Urbano,Vivienda,1688.2496803499184,46.83949661010758,0.027744413137042206,Alta
Colima,Rural,Alimentos,5488.329051662213,135.8762367959823,0.02475730509540611,Alta
Colima,Rural,Gasto corriente,12791.07081832026,372.58639894336704,0.029128632327617397,Alta
Colima,Rural,NANV,6578.417734103382,269.32636694642065,0.04094090369941048,Alta
Colima,Rural,Vivienda,724.3240325546649,33.01481389055947,0.04558017186606029,Alta
Colima,Urbano,Alimentos,6523.120965940437,142.6078013462514,0.021861897409362493,Alta
Colima,Urbano,Gasto corriente,17815.892530922814,431.5487568686382,0.024222685230032938,Alta
Colima,Urbano,NANV,9766.476793689122,325.07256981856057,0.03328452795061318,Alta
Colima,Urbano,Vivienda,1526.2947712932564,43.585698412568036,0.02855654047457498,Alta
Durango,Rural,Alimentos,3810.862357745051,129.11794950222253,0.033881556818710114,Alta
Durango,Rural,Gasto corriente,10072.296051483763,346.7608295451437,0.03442718797905686,Alta
Durango,Rural,NANV,5737.329507196923,243.87848761876847,0.04250731761403046,Alta
Durango,Rural,Vivienda,524.1041865417883,35.23299576687771,0.06722517520677825,Alta
