nom_ent,cve_ent,componente,codigo,nombre_nodo,serie_api
Chihuahua,8,alimentos,096,Café soluble,898078
Chihuahua,8,alimentos,099,Agua embotellada,898082
Chihuahua,8,alimentos,100,Refrescos envasados,898083
Chihuahua,8,alimentos,267,Pollos rostizados,898101
Chihuahua,8,alimentos,269,Otros alimentos cocinados,898102
Chihuahua,8,comidas_fuera,25,Alimentos cocinados fuera de casa,898097
Chihuahua,8,nanv,general,Índice general,897960
Chihuahua,8,vivienda,3,Vivienda,898168
Ciudad de México,9,alimentos,001,Arroz,898412
Ciudad de México,9,alimentos,004,Galletas,898407
Ciudad de México,9,alimentos,008,Pan blanco,898401
Ciudad de México,9,alimentos,009,Pan de caja,898402
Ciudad de México,9,alimentos,010,Pan dulce,898403
Ciudad de México,9,alimentos,011,Pasta para sopa,898409
Ciudad de México,9,alimentos,014,Tortilla de maíz,898398
Ciudad de México,9,alimentos,015,Tortillas de harina de trigo,898410
Ciudad de México,9,alimentos,016,Tostadas,898399
Ciudad de México,9,alimentos,017,Carne de cerdo,898418
Ciudad de México,9,alimentos,018,Carne de res,898421
Ciudad de México,9,alimentos,019,"Carnes secas, procesadas y otros embutidos",898424
Ciudad de México,9,alimentos,020,Chorizo,898425
Ciudad de México,9,alimentos,021,Jamón,898426
Ciudad de México,9,alimentos,022,Pollo,898416
Ciudad de México,9,alimentos,026,Atún y sardina en lata,898434
Ciudad de México,9,alimentos,030,Crema y otros productos a base de leche,898445
Ciudad de México,9,alimentos,031,Huevo,898455
Ciudad de México,9,alimentos,034,Leche pasteurizada y fresca,898438
Ciudad de México,9,alimentos,037,Queso fresco,898447
Ciudad de México,9,alimentos,039,Queso Oaxaca y asadero,898449
Ciudad de México,9,alimentos,041,Yogurt,898451
Ciudad de México,9,alimentos,042,Aceites y grasas vegetales comestibles,898458
Ciudad de México,9,alimentos,045,Aguacate,898461
Ciudad de México,9,alimentos,048,Limón,898464
Ciudad de México,9,alimentos,049,Manzana,898465
Ciudad de México,9,alimentos,055,Plátanos,898471
Ciudad de México,9,alimentos,060,Calabacita,898476
Ciudad de México,9,alimentos,061,Cebolla,898477
Ciudad de México,9,alimentos,062,Chayote,898478
Ciudad de México,9,alimentos,065,Chile serrano,898480
Ciudad de México,9,alimentos,068,Frijol,898494
Ciudad de México,9,alimentos,069,Frijol procesado,898499
Ciudad de México,9,alimentos,070,Jitomate,898482
Ciudad de México,9,alimentos,071,Lechuga y col,898483
Ciudad de México,9,alimentos,072,Nopales,898484
Ciudad de México,9,alimentos,073,Papa y otros tubérculos,898485
Ciudad de México,9,alimentos,074,Papas fritas,898521
Ciudad de México,9,alimentos,075,Pepino,898486
Ciudad de México,9,alimentos,076,Tomate verde,898487
Ciudad de México,9,alimentos,078,Zanahoria,898488
Ciudad de México,9,alimentos,081,Otros chiles frescos,898490
Ciudad de México,9,alimentos,082,Azúcar,898506
Ciudad de México,9,alimentos,087,"Cilantro, epazote y perejil",898491
Ciudad de México,9,alimentos,095,Jugos o néctares envasados,898503
Ciudad de México,9,alimentos,096,Café soluble,898508
Ciudad de México,9,alimentos,099,Agua embotellada,898512
Ciudad de México,9,alimentos,100,Refrescos envasados,898513
Ciudad de México,9,alimentos,267,Pollos rostizados,898531
Ciudad de México,9,alimentos,269,Otros alimentos cocinados,898532
