nom_ent,cve_ent,ambito,date,componente,valor
Aguascalientes,1,Rural,2025-04-01,Vivienda,3598.43081482703
Aguascalientes,1,Rural,2025-04-01,NANV,3866.30658848767
Aguascalientes,1,Rural,2025-05-01,Alimentos,3078.66307441478
Aguascalientes,1,Rural,2025-05-01,Vivienda,3603.58205498176
Aguascalientes,1,Rural,2025-05-01,NANV,3884.75717478012
Aguascalientes,1,Rural,2025-06-01,Alimentos,3089.68982513589
Aguascalientes,1,Rural,2025-06-01,Vivienda,3606.20339612558
Aguascalientes,1,Rural,2025-06-01,NANV,3905.65865984872
Aguascalientes,1,Rural,2025-07-01,Alimentos,3128.87364370874
Aguascalientes,1,Rural,2025-07-01,Vivienda,3607.81887380724
Aguascalientes,1,Rural,2025-07-01,NANV,3924.93539179605
Aguascalientes,1,Rural,2025-08-01,Alimentos,3124.03065981477
Aguascalientes,1,Rural,2025-08-01,Vivienda,3611.62896267907
Aguascalientes,1,Rural,2025-08-01,NANV,3930.88364051123
Aguascalientes,1,Rural,2025-09-01,Alimentos,3124.00570999013
Aguascalientes,1,Rural,2025-09-01,Vivienda,3610.50117637301
Aguascalientes,1,Rural,2025-09-01,NANV,3923.09033316681
Aguascalientes,1,Rural,2025-10-01,Alimentos,3092.83111144146
Aguascalientes,1,Rural,2025-10-01,Vivienda,3616.536357146
Aguascalientes,1,Rural,2025-10-01,NANV,3932.23301174754
Aguascalientes,1,Rural,2025-11-01,Alimentos,3120.11474283684
Aguascalientes,1,Rural,2025-11-01,Vivienda,3619.67587037639
Aguascalientes,1,Rural,2025-11-01,NANV,3940.13647184595
Aguascalientes,1,Rural,2025-12-01,Alimentos,3129.71839103706
Aguascalientes,1,Rural,2025-12-01,Vivienda,3629.18585220049
Aguascalientes,1,Rural,2025-12-01,NANV,3958.58705813839
Aguascalientes,1,Rural,2026-01-01,Alimentos,3153.16031254688
Aguascalientes,1,Rural,2026-01-01,Vivienda,3643.42034422566
Aguascalientes,1,Rural,2026-01-01,NANV,3976.07380783347
Aguascalientes,1,Rural,2026-02-01,Alimentos,3195.6997382264
Aguascalientes,1,Rural,2026-02-01,Vivienda,3654.24099662168
Aguascalientes,1,Rural,2026-02-01,NANV,3995.95637992772
Aguascalientes,1,Rural,2026-03-01,Alimentos,3291.78134004419
Aguascalientes,1,Rural,2026-03-01,Vivienda,3675.54701359298
Aguascalientes,1,Rural,2026-03-01,NANV,4032.00386866923
Aguascalientes,1,Rural,2026-04-01,Alimentos,3251.94470020722
Aguascalientes,1,Rural,2026-04-01,Vivienda,3684.69122688538
Aguascalientes,1,Rural,2026-04-01,NANV,4036.87812803305
Aguascalientes,1,Rural,2026-05-01,Alimentos,3176.01906366553
Aguascalientes,1,Rural,2026-05-01,Vivienda,3694.81082292898
Aguascalientes,1,Rural,2026-05-01,NANV,4021.89735349113
Aguascalientes,1,Rural,2026-06-01,Alimentos,3157.12075363019
Aguascalientes,1,Rural,2026-06-01,Vivienda,3701.51657934341
Aguascalientes,1,Rural,2026-06-01,NANV,4026.13823451954
Aguascalientes,1,Urbano,2018-08-01,Alimentos,2043.02346374489
Aguascalientes,1,Urbano,2018-08-01,Vivienda,4422.28287383265
Aguascalientes,1,Urbano,2018-08-01,NANV,3333.84541012192
Aguascalientes,1,Urbano,2018-09-01,Alimentos,2040.49040628808
Aguascalientes,1,Urbano,2018-09-01,Vivienda,4449.40314635096
Aguascalientes,1,Urbano,2018-09-01,NANV,3348.52742774443
Aguascalientes,1,Urbano,2018-10-01,Alimentos,2027.83732971802
Aguascalientes,1,Urbano,2018-10-01,Vivienda,4461.01981031238
Aguascalientes,1,Urbano,2018-10-01,NANV,3349.98568683109
Aguascalientes,1,Urbano,2018-11-01,Alimentos,2075.70430929825
Aguascalientes,1,Urbano,2018-11-01,Vivienda,4436.90308589056
Aguascalientes,1,Urbano,2018-11-01,NANV,3366.52367056391
Aguascalientes,1,Urbano,2018-12-01,Alimentos,2097.9890757331
Aguascalientes,1,Urbano,2018-12-01,Vivienda,4435.97551956665
Aguascalientes,1,Urbano,2018-12-01,NANV,3384.35420212353
Aguascalientes,1,Urbano,2019-01-01,Alimentos,2115.2653139715
Aguascalientes,1,Urbano,2019-01-01,Vivienda,4465.87849105671
Aguascalientes,1,Urbano,2019-01-01,NANV,3401.52188864376
Aguascalientes,1,Urbano,2019-02-01,Alimentos,2082.75239787635
Aguascalientes,1,Urbano,2019-02-01,Vivienda,4486.19661053296
Aguascalientes,1,Urbano,2019-02-01,NANV,3402.28416043906
Aguascalientes,1,Urbano,2019-03-01,Alimentos,2085.04289492403
Aguascalientes,1,Urbano,2019-03-01,Vivienda,4484.16479858534
Aguascalientes,1,Urbano,2019-03-01,NANV,3411.36513747872
Aguascalientes,1,Urbano,2019-04-01,Alimentos,2080.26260035766
Aguascalientes,1,Urbano,2019-04-01,Vivienda,4480.89623153916
Aguascalientes,1,Urbano,2019-04-01,NANV,3406.39379968328
Aguascalientes,1,Urbano,2019-05-01,Alimentos,2088.25818854276
Aguascalientes,1,Urbano,2019-05-01,Vivienda,4487.43336563152
Aguascalientes,1,Urbano,2019-05-01,NANV,3413.28738809295
Aguascalientes,1,Urbano,2019-06-01,Alimentos,2104.76103348919
Aguascalientes,1,Urbano,2019-06-01,Vivienda,4472.9898328734
Aguascalientes,1,Urbano,2019-06-01,NANV,3416.27019077021
Aguascalientes,1,Urbano,2019-07-01,Alimentos,2170.02901894506
Aguascalientes,1,Urbano,2019-07-01,Vivienda,4476.74426799401
Aguascalientes,1,Urbano,2019-07-01,NANV,3440.03318543239
Aguascalientes,1,Urbano,2019-08-01,Alimentos,2125.8042286615
Aguascalientes,1,Urbano,2019-08-01,Vivienda,4484.42981753503
Aguascalientes,1,Urbano,2019-08-01,NANV,3444.97138097585
Aguascalientes,1,Urbano,2019-09-01,Alimentos,2117.60325889852
Aguascalientes,1,Urbano,2019-09-01,Vivienda,4492.82208427522
Aguascalientes,1,Urbano,2019-09-01,NANV,3454.08550026748
Aguascalientes,1,Urbano,2019-10-01,Alimentos,2111.72074702164
Aguascalientes,1,Urbano,2019-10-01,Vivienda,4506.91225843376
Aguascalientes,1,Urbano,2019-10-01,NANV,3470.98804877196
Aguascalientes,1,Urbano,2019-11-01,Alimentos,2131.62868635013
Aguascalientes,1,Urbano,2019-11-01,Vivienda,4521.31162136693
Aguascalientes,1,Urbano,2019-11-01,NANV,3483.05182848888
Aguascalientes,1,Urbano,2019-12-01,Alimentos,2155.60059844568
Aguascalientes,1,Urbano,2019-12-01,Vivienda,4539.20040047103
Aguascalientes,1,Urbano,2019-12-01,NANV,3508.33936674165
Aguascalientes,1,Urbano,2020-01-01,Alimentos,2206.86747763796
Aguascalientes,1,Urbano,2020-01-01,Vivienda,4539.95128749515
Aguascalientes,1,Urbano,2020-01-01,NANV,3546.85066353028
Aguascalientes,1,Urbano,2020-02-01,Alimentos,2246.19165088332
Aguascalientes,1,Urbano,2020-02-01,Vivienda,4538.93538152134
Aguascalientes,1,Urbano,2020-02-01,NANV,3557.32361515266
Aguascalientes,1,Urbano,2020-03-01,Alimentos,2281.34947450782
Aguascalientes,1,Urbano,2020-03-01,Vivienda,4545.69336473844
Aguascalientes,1,Urbano,2020-03-01,NANV,3561.66525016067
Aguascalientes,1,Urbano,2020-04-01,Alimentos,2273.96575107081
Aguascalientes,1,Urbano,2020-04-01,Vivienda,4550.81706443246
Aguascalientes,1,Urbano,2020-04-01,NANV,3516.32664946631
Aguascalientes,1,Urbano,2020-05-01,Alimentos,2256.58171862593
Aguascalientes,1,Urbano,2020-05-01,Vivienda,4565.21642736563
Aguascalientes,1,Urbano,2020-05-01,NANV,3533.69318949836
Aguascalientes,1,Urbano,2020-06-01,Alimentos,2265.29267427502
Aguascalientes,1,Urbano,2020-06-01,Vivienda,4580.23416784808
Aguascalientes,1,Urbano,2020-06-01,NANV,3563.88578104263
Aguascalientes,1,Urbano,2020-07-01,Alimentos,2287.97985823251
Aguascalientes,1,Urbano,2020-07-01,Vivienda,4596.53283325404
Aguascalientes,1,Urbano,2020-07-01,NANV,3599.67941316976
Aguascalientes,1,Urbano,2020-08-01,Alimentos,2299.363003686
Aguascalientes,1,Urbano,2020-08-01,Vivienda,4605.63181719341
Aguascalientes,1,Urbano,2020-08-01,NANV,3609.02552822517
Aguascalientes,1,Urbano,2020-09-01,Alimentos,2299.10638986309
Aguascalientes,1,Urbano,2020-09-01,Vivienda,4609.8279505635
Aguascalientes,1,Urbano,2020-09-01,NANV,3611.67690838274
Aguascalientes,1,Urbano,2020-10-01,Alimentos,2281.46351131069
Aguascalientes,1,Urbano,2020-10-01,Vivienda,4626.61248404389
Aguascalientes,1,Urbano,2020-10-01,NANV,3617.84136724907
Aguascalientes,1,Urbano,2020-11-01,Alimentos,2278.09468176232
Aguascalientes,1,Urbano,2020-11-01,Vivienda,4638.6708462548
Aguascalientes,1,Urbano,2020-11-01,NANV,3604.88274672898
Aguascalientes,1,Urbano,2020-12-01,Alimentos,2266.15952414363
Aguascalientes,1,Urbano,2020-12-01,Vivienda,4641.85107365108
Aguascalientes,1,Urbano,2020-12-01,NANV,3620.89045443027
Aguascalientes,1,Urbano,2021-01-01,Alimentos,2308.42593753926
Aguascalientes,1,Urbano,2021-01-01,Vivienda,4696.04744886276
Aguascalientes,1,Urbano,2021-01-01,NANV,3658.44062591178
Aguascalientes,1,Urbano,2021-02-01,Alimentos,2322.66192816076
Aguascalientes,1,Urbano,2021-02-01,Vivienda,4726.12709965261
Aguascalientes,1,Urbano,2021-02-01,NANV,3682.30304732987
