nom_ent,cve_ent,ambito,rural,date,canasta_alimentos,vivienda_mensual,NANV,alimentos_familiar,nanv_familiar,ingreso_digno_familiar,salario_digno
Ciudad de México,9,Urbano,0,2025-10-01,3278.985513689,9878.96449085532,5501.79309067161,13115.942054756,22007.1723626864,47252.1828537127,23626.0914268563
Ciudad de México,9,Urbano,0,2025-11-01,3299.97844752426,9908.59206597764,5544.80998367302,13199.913790097,22179.2399346921,47552.1330803051,23776.0665401526
Ciudad de México,9,Urbano,0,2025-12-01,3295.89132035683,9931.37025545341,5560.06251083141,13183.5652814273,22240.2500433257,47622.9448592167,23811.4724296084
Ciudad de México,9,Urbano,0,2026-01-01,3325.30539422303,9969.59938464351,5574.67951602488,13301.2215768921,22298.7180640995,47848.0159769169,23924.0079884585
Ciudad de México,9,Urbano,0,2026-02-01,3355.85279600899,9998.58980761266,5601.72891965734,13423.411184036,22406.9156786294,48120.3625037919,24060.1812518959
Ciudad de México,9,Urbano,0,2026-03-01,3434.40998265528,10044.3054746025,5653.44451955377,13737.6399306211,22613.7780782151,48715.5096576107,24357.7548288053
Ciudad de México,9,Urbano,0,2026-04-01,3398.43591934567,10075.6055741269,5669.37228879991,13593.7436773827,22677.4891551996,48664.1803270447,24332.0901635223
Ciudad de México,9,Urbano,0,2026-05-01,3349.60449877116,10128.4095588207,5666.83020094018,13398.4179950847,22667.3208037607,48503.8557755494,24251.9278877747
Ciudad de México,9,Urbano,0,2026-06-01,3354.17531589537,10161.4618267663,5648.59866457116,13416.7012635815,22594.3946582846,48481.185636064,24240.592818032
Durango,10,Rural,1,2018-08-01,1913.14289407617,2726.35140120492,3060.06749571572,7652.57157630466,12240.2699828629,23750.1526083911,11875.0763041956
Durango,10,Rural,1,2018-09-01,1948.02325050078,2741.53537300229,3075.46862673493,7792.09300200314,12301.8745069397,23977.2780260424,11988.6390130212
Durango,10,Rural,1,2018-10-01,1929.37563922324,2749.52121863454,3084.09935956352,7717.50255689295,12336.3974382541,23943.5922744706,11971.7961372353
Durango,10,Rural,1,2018-11-01,1951.93194215602,2750.06447343945,3099.77496618505,7807.72776862407,12399.0998647402,24104.7367121439,12052.368356072
Durango,10,Rural,1,2018-12-01,1993.17030269201,2743.46392755974,3112.37034660274,7972.68121076802,12449.481386411,24323.9078509757,12161.9539254878
Durango,10,Rural,1,2019-01-01,2018.95028617209,2750.85219290658,3130.11976888627,8075.80114468836,12520.4790755451,24514.489033797,12257.2445168985
Durango,10,Rural,1,2019-02-01,2001.17603790708,2774.42945143988,3139.72641496756,8004.70415162832,12558.9056598702,24504.9412260854,12252.4706130427
Durango,10,Rural,1,2019-03-01,1975.04075638099,2781.84487952697,3147.22874809771,7900.16302552397,12588.9149923908,24434.4690423138,12217.2345211569
Durango,10,Rural,1,2019-04-01,1967.41071528095,2777.36302738642,3152.2303035178,7869.64286112378,12608.9212140712,24418.7234577105,12209.3617288552
Durango,10,Rural,1,2019-05-01,1965.70959669655,2772.7181988044,3155.55450803482,7862.8383867862,12622.2180321393,24420.6633486164,12210.3316743082
Durango,10,Rural,1,2019-06-01,1968.91476752296,2757.96883085096,3156.04246466117,7875.65907009186,12624.1698586447,24420.6876475669,12210.3438237834
Durango,10,Rural,1,2019-07-01,1985.78180765996,2752.07451621764,3168.91232068119,7943.12723063984,12675.6492827247,24539.3935810613,12269.6967905307
