clave,precio,nom_ent,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp,valor
011810,26,Hidalgo,1,0.254796722743659,0.254796722743659,1,2,26
011810,28,Jalisco,1,0.254796722743659,0.254796722743659,1,2,28
011810,26,Michoacán,1,0.254796722743659,0.254796722743659,1,2,26
011810,26,Morelos,1,0.254796722743659,0.254796722743659,1,2,26
011810,28,México,1,0.254796722743659,0.254796722743659,1,2,28
011810,30,Nayarit,1,0.254796722743659,0.254796722743659,1,2,30
011810,30,Nuevo León,1,0.254796722743659,0.254796722743659,1,2,30
011810,26,Oaxaca,1,0.254796722743659,0.254796722743659,1,2,26
011810,25,Puebla,1,0.254796722743659,0.254796722743659,1,2,25
011810,26,Querétaro,1,0.254796722743659,0.254796722743659,1,2,26
011810,32,Quintana Roo,1,0.254796722743659,0.254796722743659,1,2,32
011810,26,San Luis Potosí,1,0.254796722743659,0.254796722743659,1,2,26
011810,31,Sinaloa,1,0.254796722743659,0.254796722743659,1,2,31
011810,30,Sonora,1,0.254796722743659,0.254796722743659,1,2,30
011810,26,Tabasco,1,0.254796722743659,0.254796722743659,1,2,26
011810,32,Tamaulipas,1,0.254796722743659,0.254796722743659,1,2,32
011810,25,Tlaxcala,1,0.254796722743659,0.254796722743659,1,2,25
011810,25,Veracruz,1,0.254796722743659,0.254796722743659,1,2,25
011810,34,Yucatán,1,0.254796722743659,0.254796722743659,1,2,34
011810,30,Zacatecas,1,0.254796722743659,0.254796722743659,1,2,30
011911,40,Aguascalientes,1,0.25450250273532,0.25450250273532,1,2,40
011911,95,Baja California,1,0.25450250273532,0.25450250273532,1,2,95
011911,87.5,Baja California Sur,1,0.25450250273532,0.25450250273532,1,2,87.5
011911,35,Campeche,1,0.25450250273532,0.25450250273532,1,2,35
011911,40,Chiapas,1,0.25450250273532,0.25450250273532,1,2,40
011911,40,Chihuahua,1,0.25450250273532,0.25450250273532,1,2,40
011911,35,Ciudad de México,1,0.25450250273532,0.25450250273532,1,2,35
011911,50,Coahuila,1,0.25450250273532,0.25450250273532,1,2,50
011911,60,Colima,1,0.25450250273532,0.25450250273532,1,2,60
