codigo,nombre,ruta_ccif,serie_api
033,Leche evaporada y condensada,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 033 Leche evaporada y condensada",908749
034,Leche pasteurizada y fresca,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 034 Leche pasteurizada y fresca",908750
035,Leches de origen vegetal,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 035 Leches de origen vegetal",908751
036,Queso amarillo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 036 Queso amarillo",908752
037,Queso fresco,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 037 Queso fresco",908753
038,Queso manchego y Chihuahua,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 038 Queso manchego y Chihuahua",908754
039,Queso Oaxaca y asadero,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 039 Queso Oaxaca y asadero",908755
040,Otros quesos,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 040 Otros quesos",908756
041,Yogurt,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.4 Leche, otros productos lácteos y huevos, 041 Yogurt",908757
042,Aceites y grasas vegetales comestibles,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.5 Aceites y grasas, 042 Aceites y grasas vegetales comestibles",908759
043,Manteca de cerdo,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.5 Aceites y grasas, 043 Manteca de cerdo",908760
044,Mantequilla,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.5 Aceites y grasas, 044 Mantequilla",908761
045,Aguacate,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 045 Aguacate",908763
046,Durazno,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 046 Durazno",908764
047,Guayaba,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 047 Guayaba",908765
048,Limón,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 048 Limón",908766
049,Manzana,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 049 Manzana",908767
050,Melón,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 050 Melón",908768
051,Naranja,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 051 Naranja",908769
052,Papaya,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 052 Papaya",908770
053,Pera,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 053 Pera",908771
054,Piña,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 054 Piña",908772
055,Plátanos,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 055 Plátanos",908773
056,Sandía,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 056 Sandía",908774
057,Uva,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 057 Uva",908775
058,Otras conservas de frutas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 058 Otras conservas de frutas",908776
059,Otras frutas,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.6 Frutas y frutos secos, 059 Otras frutas",908777
060,Calabacita,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 060 Calabacita",908779
061,Cebolla,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 061 Cebolla",908780
062,Chayote,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 062 Chayote",908781
063,Chile poblano,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 063 Chile poblano",908782
064,Chile seco,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 064 Chile seco",908783
065,Chile serrano,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 065 Chile serrano",908784
066,Chiles envasados,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 066 Chiles envasados",908785
067,Ejotes,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 067 Ejotes",908786
068,Frijol,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 068 Frijol",908787
069,Frijol procesado,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 069 Frijol procesado",908788
070,Jitomate,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 070 Jitomate",908789
071,Lechuga y col,"01 Alimentos y bebidas no alcohólicas, 01.1 Alimentos, 01.1.7 Hortalizas, tubérculos, plátanos de cocción y legumbres, 071 Lechuga y col",908790
